in s,C1 in V
-1.1892972E+01,9.77051E-01
-1.1892798E+01,7.81738E-01
-1.1892624E+01,7.03613E-01
-1.1892450E+01,6.84082E-01
-1.1892276E+01,6.84082E-01
-1.1892102E+01,6.69434E-01
-1.1891928E+01,6.59668E-01
-1.1891754E+01,6.59668E-01
-1.1891580E+01,6.45020E-01
-1.1891406E+01,6.25488E-01
-1.1891232E+01,6.30371E-01
-1.1891058E+01,6.25488E-01
-1.1890884E+01,6.20605E-01
-1.1890710E+01,6.30371E-01
-1.1890536E+01,6.35254E-01
-1.1890362E+01,6.15723E-01
-1.1890188E+01,6.20605E-01
-1.1890014E+01,6.05957E-01
-1.1889840E+01,6.30371E-01
-1.1889666E+01,6.30371E-01
-1.1889492E+01,6.15723E-01
-1.1889318E+01,6.20605E-01
-1.1889144E+01,6.59668E-01
-1.1888970E+01,8.64746E-01
-1.1888796E+01,9.42871E-01
-1.1888622E+01,9.47754E-01
-1.1888448E+01,9.62402E-01
-1.1888274E+01,9.47754E-01
-1.1888100E+01,7.18262E-01
-1.1887926E+01,6.84082E-01
-1.1887752E+01,6.69434E-01
-1.1887578E+01,6.64551E-01
-1.1887404E+01,6.64551E-01
-1.1887230E+01,6.69434E-01
-1.1887056E+01,6.59668E-01
-1.1886882E+01,6.35254E-01
-1.1886708E+01,6.20605E-01
-1.1886534E+01,6.25488E-01
-1.1886360E+01,6.40137E-01
-1.1886186E+01,6.40137E-01
-1.1886012E+01,6.25488E-01
-1.1885838E+01,6.30371E-01
-1.1885664E+01,6.30371E-01
-1.1885490E+01,6.25488E-01
-1.1885316E+01,8.59863E-01
-1.1885142E+01,9.33105E-01
-1.1884968E+01,9.57520E-01
-1.1884794E+01,9.81934E-01
-1.1884620E+01,9.77051E-01
-1.1884446E+01,7.67090E-01
-1.1884272E+01,6.93848E-01
-1.1884098E+01,6.88965E-01
-1.1883924E+01,6.84082E-01
-1.1883750E+01,6.64551E-01
-1.1883576E+01,6.79199E-01
-1.1883402E+01,6.59668E-01
-1.1883228E+01,6.45020E-01
-1.1883054E+01,6.35254E-01
-1.1882880E+01,6.35254E-01
